BEGINSCAN
0				149.4
2				149.7
4				149.2
6				150.1
8				149.4
10				149.2
12				157.7
14				150.0
16				155.8
18				149.1
20				149.4
22				148.8
24				149.1
26				149.5
28				149.1
30				148.2
32				148.8
34				145.2
36				156.8
38				145.7
40				157.3
42				146.0
44				159.6
46				159.2
48				255.6
50				255.8
52				255.7
54				256.3
56				255.6
58				318.4
60				256.0
62				255.9
64				319.2
66				318.6
68				318.4
70				318.4
72				318.5
74				318.5
76				318.5
78				318.4
80				318.4
82				16.2
84				15.4
86				15.4
88				14.8
90				14.8
92				14.3
94				14.3
96				14.3
98				14.3
100				14.3
102				14.3
104				13.7
106				13.7
108				13.7
110				13.7
112				13.7
114				13.7
116				13.7
118				13.8
120				13.8
122				13.8
124				14.3
126				14.3
128				14.8
130				14.8
132				14.9
134				14.9
136				15.4
138				16.3
140				16.0
142				16.5
144				28.1
146				28.1
148				28.1
150				16.1
152				15.7
154				28.5
156				28.1
158				28.1
160				28.2
162				13.9
164				13.8
166				14.7
168				52.2
170				52.6
172				54.2
174				53.4
176				52.4
178				52.9
END
